name,ingredient1_id,ingredient1_amount,ingredient2_id,ingredient2_amount,ingredient3_id,ingredient3_amount,ingredient4_id,ingredient4_amount,garnish_id,method,ice_in_shake,is_on_the_rocks,glass_type,abv,summary
불멸의 커피,5,2oz,19,1.5oz,18,1oz,23,1dash,,shake,FALSE,TRUE,on_the_rocks,25,"브랜디와 커피의 깊이 있는 조화, 깔끔한 마무리"
스팅어,5,2oz,20,2oz,,,,,11,stir,FALSE,TRUE,on_the_rocks,30,"브랜디와 허브의 강렬한 조합, 애플민트로 마무리"
스윗 리버티,5,2oz,13,0.5oz,18,0.5oz,23,2dash,7,shake,TRUE,FALSE,coupe,25,단맛과 쌉쌀함이 공존하는 리버티 스타일 칵테일
엘 바토르,6,2oz,15,1oz,12,0.5oz,,,6,shake,TRUE,FALSE,margarita,25,데킬라 베이스의 상큼한 칵테일
엘 도라도,2,1oz,6,1oz,11,2oz,16,2oz,9,stir,FALSE,TRUE,long_drink,10,선라이즈 스타일 데킬라 칵테일
오렌지 밤,3,1.5oz,11,4oz,,,,,9,stir,FALSE,TRUE,on_the_rocks,15,상큼하고 깔끔한 보드카 기반 칵테일
칼립소,2,2oz,16,1oz,13,0.5oz,18,0.5oz,8,shake,TRUE,TRUE,long_drink,15,럼과 열대과일의 달콤한 조화
타이푼,2,2oz,15,1oz,11,1oz,13,0.5oz,8,shake,TRUE,TRUE,long_drink,15,폭풍처럼 강렬한 과일풍 럼 칵테일
포스포러스,1,3oz,3,0.5oz,22,0.5oz,10,0.5oz,1,shake,TRUE,FALSE,sour,30,푸른 빛처럼 빛나는 시그니처 칵테일
허브 가든,1,2oz,20,1oz,12,1oz,18,0.5oz,11,shake,TRUE,TRUE,long_drink,20,허브의 향긋함이 가득한 정원 같은 칵테일
